,AllNAc,D-Alt,D-Fuc,Fuc,Gal,Gal3S,GalNAc,GalNAc3/4S,GalNAc3S,Glc,GlcA,GlcNAc,GlcNAc6S,Gul,Kdn,L-6dGul,L-6dTal,Man,ManNAc,ManNAc6S,Neu5Ac,Neu5Ac9Ac,Neu5Gc,Xyl,Xylf
0,-598.1027826682843989093984437,-10.86873019730408630138315940,-920.2090487524974916126657979,-358.5604612131842859024474779,-335.0035701366420819360947583,-704.5311641288292885166594867,-333.5895593085566998445643163,-317.8496146888986892704986458,-382.3998067834885717554422277,-52.97021542185034790183243134,-850.1251825132987576700280403,-4.574748992437838688630080141,-250.8498931824738195982584745,-801.8985495873998269052129016,-857.1223408654644037502260409,-923.9240177443322824166657979,-1690.149497053703027199874556,-0.010381634163251352661736831,-449.9659967995213339428657287,-1904.629449906846156152927794,-719.8292460445446072831866654,-916.4247287130805946018993540,-848.6003890563075632156539205,-27.10661733716667343992105314,-28.62994020313183957474870018
1,-2263.047598801772875552674400,-2697.060731342399293784475718,-177.8096264248841302425237700,-44.8306076040612160071460936,-0.000095686387679884905750843,-10.05548867626320678897927096,-16.40904348260171153769791188,-11.10160875381855442081663190,-11.28528503238106153076386252,-642.0876429408599070047042044,-69.19829231604915056356732689,-77.7066245284532037103356034,-1846.337867078640015539508338,-10.59610208724713238571286007,-69.84393867190109246085199840,-1202.201125747363242504666650,-352.8824882871294801321458180,-916.6819670415481853159982878,-99.8918706811882129432143828,-1622.950534417099554404227850,-58.14716647806612561678628316,-68.27083523494428654456606950,-68.06230432012302729518456276,-2096.845761839637909300668372,-2324.124592218179054985262624
2,-979.9776533878852066076177510,-1498.791216452635995638764240,-155.2263953620476740000000000,-111.8155566315050708623321019,-81.54312794598699161728236723,-203.7054023659251990850240604,-160.3252877130169884650133491,-145.6225818454248461104837174,-152.3621924818937120617717375,-427.5618649488452020686657150,-433.9838970048011136640400173,1.40858057693E-15,-1094.703730677331106008306005,-260.3584500265156052115461410,-433.0067983959504249607324559,-1317.785275789177822085751238,-396.8245328959354003200472015,-170.9818744036663589763954774,-716.1612956732640766139034196,-2454.068246408881039640667192,-408.5600188300308164742504552,-434.2504044855083613670392215,-432.3154865509906776971721287,-3524.453653814049209236534970,-2893.055754917427720284322899
3,-652.4343129940164931226376370,-317.9441746014237174431911335,-2822.686207192049559361314843,-636.3848464053962719011221794,-594.8902758791561252057495743,-998.0220006727200660042025311,-595.7987100244842403764576977,-588.4025934779874677968341061,-650.1468182006332965127959218,-69.42015161919858538588532154,-1486.354427755554188875159867,-2.622544312980086531944246684,-280.9657638056866952102245396,-1157.200487120415392221440499,-1486.700073791742713820333331,-3005.210934349168476206339725,-2281.813227861403712554529645,-0.075389570747757552478078035,-458.1087276054373624712553737,-1773.723001237613348793252423,-1353.508305744548076284131562,-1487.050365052408314311196134,-1486.303025803786403671084459,-30.27598476084173699219096272,-32.07807438661657161989571692
4,-2533.222047207590383336410796,-4242.483812676397487670899574,-1.916998836414884137504245140,-0.176441728070961471363632379,-29.35324061315765394623823349,-31.61420337274687532456658223,-42.09993269577811290167479068,-32.38360056340091974205961331,-31.62864046429940979501386311,-665.3114899747381002869613248,-168.1899479124672734950213758,-160.3924365560599163958907844,-1939.794665313670009680198466,-32.37111752290607360217872778,-170.5587220475873811215962534,-4.219583929408931637519063699,-424.5775924353837356991832914,-909.9536327790040202424815738,-200.9856892831342667310364570,-2644.714142573034871693520660,-159.6009922025224487227480883,-168.8584950138600766884512438,-167.6549847357804260776227557,-3210.122447211955300782804900,-3312.674729489867849118659870
5,-4157.962591545324764281244811,-0.69350959262110831906098270,-2189.149703290786959587686772,-379.3582211073791052937712729,-325.9571186029125020944508302,-2087.214830772222669559704677,-1790.456871573737950628623153,-1847.582271685174454779610477,-1894.174749385432028193236398,-1652.981398560599983133899421,-374.7949704590650837181012966,-127.5688961131547854357216548,-4123.599408400545838641523624,-1972.337373097143360733519866,-375.7742542685607948929839888,-2189.647477037577609460110305,-0.69293766339556023220085583,-20.05405087668203106408864090,-2952.777081920385479548125391,-3211.781131215197790812871433,-9.47950575603168396834358917,-374.4389489998892732139760003,-373.6576922879397561894507595,-1730.602774591207647157528332,-1733.796093368125253810687301
6,-35.23043437741634517224474396,-2719.046725202706671325114338,-389.5662482372248166382463009,-15.57057928958416804208050334,-7.913869100600826230977424657,-490.1108223136257063609320587,-28.96792017801688414150857816,-289.2266330761010517599475297,-351.1271942324997891307401307,-77.73734535620619828437864400,-16.17931420112446253057207746,-0.000551031838554411501132268,-25.92413882234034026652198812,-554.0742178087162708467041940,-17.90901804966265677005237885,-1587.115781533864687902455446,-761.9160293521335303494801056,-92.95931263150253412882898992,-8.653041518714285990275365458,-78.24367688561326855988998361,-11.48346746030932219237655824,-17.81318156394617654224448764,-16.87470346447793513596267060,-1584.310594752522945039768672,-1594.418254648325953457496255
7,-1956.954350647221072819369804,-53.11957652561006800000000000,-560.6873116989263246118690283,-312.8684282814324454722103721,-274.8486178354142687953616846,-543.1733597970922239633504890,-282.1931801732856350831956450,-264.1604574400086124315479221,-319.5123474044752897701009406,-26.61756411510268531626718397,-509.8968281098344590417773419,-94.76384808896411905709162716,-1547.530835546425007178999030,-642.1582617453821678792214865,-521.4575896107058458286933619,-564.6776482430533280869085446,-5804.051293204614294205818516,-2.755471180424697E-12,-1691.256446496728490293116169,-3476.832130518857918638519716,-382.4110839318540732871691268,-581.1374854624646313275810676,-514.4635807587610393277502256,-180.8064953545950773178604306,-196.0048649658631701429652231
8,-723.2219562444033010912735063,-48.11268877448521289646507078,-953.2405849162547834315229150,-305.6715196008740346630320783,-290.6207041943968096428754256,-690.7416111798093162795560507,-284.6878003431204204457453294,-272.1968846046197141896340156,-335.8302660238714197836684468,-2.041310233816436746386860741,-868.0704945195367640473641549,-52.23494598968372742255094071,-356.0275932553678242749447299,-815.4487132573371588716424411,-880.0019899652186515173853750,-969.5867265152321593397384331,-4158.409198328811309546148324,-0.157787336256361612233528507,-537.8873879787410661648119696,-2143.340836598309045758481648,-741.2155953771870155779305199,-938.8674148444050503856745539,-869.3168244919596523483922079,-4.128305063244810939655470181,-26.06755825990218263806719215
9,-4.693929245952337496900000000,-2878.573774705817685681191767,-500.2273061375810463862644045,-95.86287038970364717629647622,-95.70199987445885529665997863,-565.8789881791345334562069341,-5.387076424718209272536319216,-304.8453912603988498464267754,-367.3008189121860112973947232,-55.18777502886377203515347476,-97.26678382543736222640333734,-0.062495330851786646160514266,-5.387076426535651899266356086,-733.7748481342627501693746678,-95.16765006532241069384526462,-2745.833519252924804266194568,-909.5560303923163061579453910,-72.95728041983231193762744930,-3.277938689268741846527573916,-5.387076426512323669808869226,-93.14393130146848636693467520,-97.54869849603893846615119086,-97.91621847275840354236092330,-2017.300647037117472271925519,-2014.664745820955463562047577
10,-648.0631069178095414300000000,-119.7652258635811850486711904,-1388.654209151456314043527716,-505.6793065897506246236401823,-468.7692923712014717709158482,-857.6217507311372231737173529,-478.6808052568400823423271900,-459.2575718521060588336461509,-525.4009392805760566848944918,-38.21949116246838125561305369,-1266.445949998289856474225727,-37.40477338187376137686732125,-302.5921864969022068040788557,-971.1591551847235863723192999,-1276.678007117986048703354769,-1392.166327284826533438034017,-3529.438020241545458267985949,-0.04402669679236572824639290,-475.1092434362250931708108496,-1881.078164575219203130736745,-1132.370784547877657499340278,-1335.798624989922591979357912,-1268.476297067924115886689749,-4.23851243175357526656310839,-3.552861914354173710608962040
11,-388.6309067874987580000000000,-2532.992866403173502939053831,-503.5070118615001883813069641,-286.2741999448166442972155895,-278.4540258082569884330619794,-391.2718037072551983496944093,-274.0957034872045907908135214,-314.2809020970940235266542754,-333.6600902439530411356811143,-175.4839528083174390717906828,-297.2204863260062047946536727,1.2080669760421E-14,-306.0237221859830490761695852,-448.6598430147913310814938236,-294.9397281418795283800689720,-730.0170625672886238024496149,-1122.854323484010086964627001,-192.6369714248568149385373773,-360.9288481401346576009235094,-1367.491118766258329387222529,-289.4734735501962166174033345,-297.3368367290664420485735077,-295.3106816450130351943588240,-1923.605433900666681389723235,-1919.196172123897927404127282
12,-2317.492540427736415028554953,-2846.554252265446333437805111,-268.1387289162230286315000000,-44.01549336760236813434120433,-0.066583144478955697589361022,-4.04189089644497385266033287,-3.75370657902453858951698909,-4.44712041708212857602806930,-5.140441951962151142434162647,-639.4298508590367166714728968,-97.36234665030417985904036184,-134.3254727654303083130965360,-1806.288513907810617966475353,-5.140875401530198785283101106,-99.3069030720219261503836212,-1193.977617485172159995443893,-498.1875257438615690153963340,-926.3316024071749430171866277,-246.4622402192541868031900117,-1821.867354911423907865079779,-91.7501998777884636872827412,-98.6779456090369782864473111,-96.8323710565983354923332086,-2089.603390410006175162676732,-2301.426798905090032551042862
13,-1341.757516457898344458200000,-3696.399856648355559870380426,-697.7011024304673528760991812,-2.9163463803159257451308696,-2.81839575243782195858586409,-658.1030603544315672275215425,-4.52476670127137003836399226,-656.9829352931923978665664023,-660.0003950589438864592764596,-1122.795632167651003836385650,-3.138452657757719465580428567,-9.0327759421811311485442182,-1170.229473808101381198594043,-656.3926029214832332507301139,-2.445305386326274561517193390,-2070.459534170520036522886337,-254.3644237279620956458343483,-1169.587120088437020560984017,-4.80165066912890559062361566,-769.9979244318796585819048446,-0.55445871207627349309562410,-4.524746997009910343601042506,-1.88568960376225929682950143,-2060.399323236022502258009212,-2078.806832297461010062139766
14,-1818.589865350714704337504510,-1759.160586299391148446702448,-135.8466147595501830000000000,-111.5614882244684030466379668,-27.90066817402623696051267971,-213.6242675421949115776729788,-182.3421540455178749587756967,-159.8109035626372195337191497,-162.2408629029255439347317197,-701.6663383805964062316504191,-655.3289726711098095646853066,-7.631486217955E-13,-1640.754095500556607338898180,-271.2903865574078657646435028,-663.9791743270476244230835948,-1538.784196978685896949721730,-331.5886233522766062563484368,-129.6163884340289642774265955,-1230.705503950346770332223664,-3171.852822452183723014753496,-398.2768284854312505970085356,-689.9252041061045819782225078,-658.1452609480077715623290556,-4507.402428492408945192439530,-3568.108737801870504221532346
